nome,level,trofeus,papel
☆JOTTACLASH☆,13,5809,coLeader
Ramon_RBS,13,5766,member
Lucas Anzai,13,5764,member
ㅤㅤ,13,5764,member
꧁༒•Savage•༒꧂,13,5707,member
Cold Fox,13,5647,member
[H]n4,13,5644,member
Raphael,13,5579,member
Rafael,13,5578,member
DARKSFIRE,11,5557,elder
KCG៛¤₪KauanFL₪¤,12,5524,elder
CoCão'Flash✌,13,5504,member
"""Maicon XT""",12,5475,member
Dking,13,5470,member
Maximus,13,5457,coLeader
Samuel,13,5434,member
♡Cibelle♡,13,5420,coLeader
Denis Fulgêncio,12,5378,member
Pedro,12,5366,member
angelo,13,5304,member
GéH BeLo,13,5261,member
cavaleiro verde,13,5261,elder
Jr. Fênix,13,5235,leader
Galo,13,5197,member
Viléu,12,5137,member
Careca Matador,12,5116,member
rafinha,13,5106,member
rogeriohara,12,5088,member
Roy Mustang,12,5075,member
vem tranquilo ✌,11,5057,member
Clash Williams,11,5026,member
Flávio,12,5012,member
Aioria de Leão,13,5001,member
L&0n@rDo,12,4981,coLeader
lord fire,12,4968,member
THChmap,11,4961,member
Ezequiel thg,13,4955,member
lela,13,4938,coLeader
WTR REVERSO YT,12,4933,member
Felps Dias,12,4906,member
Edusvieira,13,4878,elder
Shaka de Virgem,12,4851,member
Leon,12,4833,member
Júnior tsedek,11,4812,member
Moraes.Ofc,11,4792,member
F0nsek,11,4789,coLeader
Zé ninguém,12,4550,member
Grandi,13,4530,member
SHAZAN CARAI,11,4412,member
itachi,11,4211,member
